Day,Cash On Hand
11,599172
12,117138
13,112922
14,260216
15,272341
16,584977
17,485191
18,533115
19,354822
20,443586
21,332790
22,679432
23,72561
24,600092
25,636873
26,147663
27,602315
28,187172
29,219729
30,1558049
31,1054067
32,840701
33,1046053
34,1913729
35,2292652
36,1502348
37,2766255
38,3512168
39,3623871
40,3660300
41,2630518
42,3800447
43,3350200
44,3098098
45,3876728
46,4237373
47,2905305
48,2964479
49,3113345
50,3302765
51,3415031
52,3701500
53,3737246
54,4564898
55,5633682
56,5497757
57,4572445
58,2458863
59,2887582
60,2296369
61,3246591
62,3471866
63,4044521
64,3241135
65,3289314
66,4164780
67,5172545
68,4899290
69,5009292
70,5006883
71,6187242
72,7108035
73,7945644
74,8035230
75,6333628
76,8607003
77,8825336
78,9127465
79,8866842
80,10043725
81,9650475
82,10268817
83,9423553
84,11129152
85,12307598
86,12472598
87,12768906
88,13029684
89,13200970
90,13515159
