,"Day : 0 - 90"
"Salary Expense",2277957
"Rental Expense",1302480
"Marketing Expense",828040
"Overflow Expense - Retail",1085
"Overflow Expense - Warehouse",6706
"Penalty Expense",427900
"Shipping Expense",4873108
"Maintenance Expense",360000
"Human Resource Expense",682000
"Interest Expense",55864
"Research Expense",0
"Development Expense",0
"Depreciation Expense",1200000
"Employee Income Tax Expense",0
"Other Expense",0
"Expired Inventory Expense",0
"Damaged Inventory Expense",0
"Missing Inventory Expense",0
