Day ,Items ,Note ,Amount 
90,Human Resource Expense,Counselled,2000
90,Human Resource Expense,Counselled,2000
90,Human Resource Expense,Counselled,2000
90,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
90,Marketing Expense,Cash Payment - Marketing - Bangkok,500
90,Marketing Expense,Cash Payment - Marketing - Ho Chi Minh City,500
90,Marketing Expense,Cash Payment - Marketing - Jakarta,500
90,Marketing Expense,Cash Payment - Marketing - Manila,500
90,Salary Expense,Cash Payment - Salary Expense,1548
90,Salary Expense,Cash Payment - Salary Expense,2064
90,Salary Expense,Cash Payment - Salary Expense,2064
90,Salary Expense,Cash Payment - Salary Expense,1548
90,Salary Expense,Cash Payment - Salary Expense,2016
90,Salary Expense,Cash Payment - Salary Expense,21761
90,Rental Expense,Cash Payment - Rental - Bangkok,2640
90,Rental Expense,Cash Payment - Rental - Butterworth,5600
90,Rental Expense,Cash Payment - Rental - Ho Chi Minh City,3120
90,Rental Expense,Cash Payment - Rental - Jakarta,3600
90,Rental Expense,Cash Payment - Rental - Manila,3720
89,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 15363 ,43680
89,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 15363 ,46350
89,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 15363 ,14140
89,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
89,Marketing Expense,Cash Payment - Marketing - Bangkok,500
89,Marketing Expense,Cash Payment - Marketing - Ho Chi Minh City,500
89,Marketing Expense,Cash Payment - Marketing - Jakarta,500
89,Marketing Expense,Cash Payment - Marketing - Manila,500
89,Salary Expense,Cash Payment - Salary Expense,1548
89,Salary Expense,Cash Payment - Salary Expense,2064
89,Salary Expense,Cash Payment - Salary Expense,2064
89,Salary Expense,Cash Payment - Salary Expense,1548
89,Salary Expense,Cash Payment - Salary Expense,2016
89,Salary Expense,Cash Payment - Salary Expense,21717
89,Rental Expense,Cash Payment - Rental - Bangkok,2640
89,Rental Expense,Cash Payment - Rental - Butterworth,5600
89,Rental Expense,Cash Payment - Rental - Ho Chi Minh City,3120
89,Rental Expense,Cash Payment - Rental - Jakarta,3600
89,Rental Expense,Cash Payment - Rental - Manila,3720
88,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
88,Marketing Expense,Cash Payment - Marketing - Bangkok,500
88,Marketing Expense,Cash Payment - Marketing - Ho Chi Minh City,500
88,Marketing Expense,Cash Payment - Marketing - Jakarta,500
88,Marketing Expense,Cash Payment - Marketing - Manila,500
88,Salary Expense,Cash Payment - Salary Expense,1548
88,Salary Expense,Cash Payment - Salary Expense,2064
88,Salary Expense,Cash Payment - Salary Expense,2064
88,Salary Expense,Cash Payment - Salary Expense,1548
88,Salary Expense,Cash Payment - Salary Expense,1994
88,Salary Expense,Cash Payment - Salary Expense,21717
88,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 15077,600
88,Penalty Expense,Cash Payment - Late penalty - SRV SO ID: 11435,5500
88,Rental Expense,Cash Payment - Rental - Bangkok,2640
88,Rental Expense,Cash Payment - Rental - Butterworth,5600
88,Rental Expense,Cash Payment - Rental - Ho Chi Minh City,3120
88,Rental Expense,Cash Payment - Rental - Jakarta,3600
88,Rental Expense,Cash Payment - Rental - Manila,3720
87,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 15072 ,116480
87,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 15072 ,78400
87,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
87,Marketing Expense,Cash Payment - Marketing - Bangkok,500
87,Marketing Expense,Cash Payment - Marketing - Ho Chi Minh City,500
87,Marketing Expense,Cash Payment - Marketing - Jakarta,500
87,Marketing Expense,Cash Payment - Marketing - Manila,500
87,Salary Expense,Cash Payment - Salary Expense,1548
87,Salary Expense,Cash Payment - Salary Expense,2064
87,Salary Expense,Cash Payment - Salary Expense,2064
87,Salary Expense,Cash Payment - Salary Expense,1548
87,Salary Expense,Cash Payment - Salary Expense,1994
87,Salary Expense,Cash Payment - Salary Expense,21567
87,Rental Expense,Cash Payment - Rental - Bangkok,2640
87,Rental Expense,Cash Payment - Rental - Butterworth,5600
87,Rental Expense,Cash Payment - Rental - Ho Chi Minh City,3120
87,Rental Expense,Cash Payment - Rental - Jakarta,3600
87,Rental Expense,Cash Payment - Rental - Manila,3720
86,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 14899 ,70000
86,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 14899 ,70000
86,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 14906 ,53320
86,Procurement Raw Material,Cash Payment - Procurement Raw Material - PO ID: 14906 ,147576
86,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 14916 ,168000
86,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
86,Marketing Expense,Cash Payment - Marketing - Bangkok,500
86,Marketing Expense,Cash Payment - Marketing - Ho Chi Minh City,500
86,Marketing Expense,Cash Payment - Marketing - Jakarta,500
86,Marketing Expense,Cash Payment - Marketing - Manila,500
86,Salary Expense,Cash Payment - Salary Expense,1548
86,Salary Expense,Cash Payment - Salary Expense,2064
86,Salary Expense,Cash Payment - Salary Expense,2064
86,Salary Expense,Cash Payment - Salary Expense,1548
86,Salary Expense,Cash Payment - Salary Expense,1994
86,Salary Expense,Cash Payment - Salary Expense,21567
86,Shipping Expense,Cash Payment - Shipping Expense - B2B SO : 14367,35872
86,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 334,15000
86,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 337,15000
86,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 340,15000
86,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 343,15000
86,Penalty Expense,Cash Payment - Late penalty - SRV SO ID: 11082,5500
86,Penalty Expense,Cash Payment - Late penalty - SRV SO ID: 11236,3300
86,Rental Expense,Cash Payment - Rental - Bangkok,2640
86,Rental Expense,Cash Payment - Rental - Butterworth,5600
86,Rental Expense,Cash Payment - Rental - Ho Chi Minh City,3120
86,Rental Expense,Cash Payment - Rental - Jakarta,3600
86,Rental Expense,Cash Payment - Rental - Manila,3720
85,Human Resource Expense,Cash Payment - Staff Recruiting,15000
85,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 14706 ,112000
85,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 14706 ,120000
85,Procurement Finished Goods,Cash Payment - Procurement Finished Goods - PO ID: 14706 ,112000
